id,inventory_id,inspection_id,inspection_type,engine_starts_properly,engine_starts_properly_notes,engine_idles_properly,engine_idles_properly_notes,engine_noise,engine_noise_notes
33426736,718743,285776,auction,,,fail,Idling Unstable,fail,ABNORMAL NOISE
33427142,717418,285777,auction,fail,Hard To Start,fail,Missfiring,fail,abnormal noise
33431784,718512,285824,auction,,,fail,Idling Unstable,fail,"Knocking Noise , belt noise"
33434559,715729,285865,auction,,,fail,Idling Unstable,fail,"Knocking Noise , belt noise"
33459028,721273,285949,auction,,,fail,VIBRATE,fail,HUMMING NOISE
33471891,719814,286194,auction,,,,,fail,ROUGH NOISE
33471894,709664,286195,auction,,,,,fail,Knocking Noise
33471999,718241,286199,auction,,,,,fail,ABNORMAL NOISE
33472276,714946,286202,auction,,,,,fail,ABNORMAL NOISE
33473933,716613,286227,auction,,,,,fail,ROUGH NOISE
33475815,717235,286254,auction,,,,,fail,engine got abnormal noise (can't rectify)
33476274,718681,286267,auction,,,,,fail,ABNORMAL NOISE
33485916,717513,286399,auction,,,,,fail,ABNORMAL NOISE
33487053,719729,286410,auction,,,,,fail,rough noise
33490054,719095,286442,auction,,,,,fail,Knocking Noise
33495444,717756,286493,auction,fail,Hard To Start,fail,Idling Unstable,fail,ROUGH NOISE
33500307,719956,286545,auction,,,,,fail,rough noise
33502859,717351,286505,auction,,,fail,VIBRATE,fail,KNOCKING NOISE
33507431,681282,286615,listing,,,,,fail,Engine Ngelitik
33515595,721932,286622,auction,,,,,fail,ROUGH NOISE AND KNOCKING
33522575,719890,286710,auction,,,,,fail,ABNORMAL NOISE ( CANT JUSTIFIED WHAT NOISE )
33542542,722517,286912,auction,,,,,fail,ROUGH NOISE AND ABNORMAL NOISE (CANOT JUSTIFY WHAT NOISE)
33583843,721351,287366,auction,,,,,fail,ROUGH NOISES
33584820,723147,287368,auction,,,,,fail,"Belt Noise , HUMMING NOISE"
33585327,720316,287380,auction,,,,,fail,ABNORMAL NOISE (CANT JUSTIFIED WHAT NOISE)
33587690,721858,287407,auction,,,,,fail,Knocking Noise
33588205,722509,287410,auction,,,,,fail,ABNORMAL NOISE
33590229,722506,287439,auction,,,,,fail,ABNORMAL NOISE
33591869,721789,287457,auction,,,,,fail,TICKING NOISE
33592004,723077,287460,auction,fail,Hard To Start,,,,
33592129,723077,287460,auction,fail,Hard To Start,,,,
33593484,721861,287464,auction,,,,,fail,Knocking Noise
33595392,722174,287500,auction,,,,,fail,ABNORMAL NOISE
33597215,719748,287528,auction,,,,,fail,ROUGH NOISE AND ABNORMAL NOISE
33598120,719622,287509,auction,fail,Hard To Start,fail,Idling Unstable AND SUDDENLY ENGINE RUNNING STOPPED,fail,GOT HUMMING AND BELTING NOISE
33598125,722168,287540,auction,,,,,fail,ABNORMAL NOISE
33598390,723189,287470,auction,,,,,fail,GOT HUMMING NOISE
33599725,722852,287556,auction,,,,,fail,ABNORMAL NOISE CANNOT IDENTIFY WAHT NOISE
33600052,721854,287555,auction,,,fail,Idling Unstable,fail,Knocking Noise
33604646,718315,287608,auction,,,,,fail,-ROUGH NOISE
33606050,722498,287621,auction,,,,,fail,ABNORMAL NOISE CANNOT IDENTIFY WHAT NOISE
33610894,722069,287541,auction,,,,,fail,ABNORMAL NOISE
33611083,722069,287541,auction,,,,,fail,ABNORMAL NOISE
33611269,722069,287541,auction,,,,,fail,ABNORMAL NOISE
33611935,722921,287678,auction,,,,,fail,ABNORMAL NOISE
33619836,722573,287709,auction,,,,,fail,ABNORMAL NOISE(SUSPECT BEARING)
33625228,723252,287828,auction,,,,,fail,"BELT NOISE, TICKING NOISE, ROUGH NOISE"
33661960,724233,288054,auction,,,,,fail,ROUGH NOISE
33665294,723192,288146,auction,,,,,fail,Knocking Noise
33666944,721834,288162,auction,fail,Hard To Start,,,fail,ROUGH NOISE
33668639,721889,288185,auction,,,,,fail,ABNORMAL NOISE
33672189,722949,288224,auction,,,,,fail,GOT ABNORMAL SQUEAKING NOISE (CANNOT JUSTIFY WHAT NOISE)
33674321,721255,288249,auction,,,,,fail,Knocking Noise
33675916,723559,288271,auction,,,,,fail,"BELT NOISE , TICKING NOISE , ROUGH NOISE"
33679324,723633,288315,auction,,,,,fail,"BELT NOISE, TICKING NOISE"
33682677,719089,288344,auction,,,,,fail,"BELT NOISE , TICKING NOISE , ROUGH NOISE"
33684954,724657,288381,auction,,,,,fail,ABNORMAL NOISE CANNOT IDENTIFY WHAT NOISE
33688979,723635,288415,auction,,,,,fail,-ROUGH NOISE
33695058,723983,288478,auction,,,fail,Idling Unstable,fail,Knocking Noise
33703200,725077,288538,auction,,,,,fail,HUMMING NOISE
33708987,721027,288615,auction,,,,,fail,"BELT NOISE , TICKING NOISE, ROUGH NOISE"
33715785,723974,288694,auction,,,,,fail,Belt Noise
33721951,721423,288755,auction,,,,,fail,abnormal noise
33754367,723814,289021,auction,,,,,fail,ABNORMAL NOISE
33755849,725040,289036,auction,,,,,fail,abnormal noise & ticking noise
33756468,725888,289045,auction,,,,,fail,abnormal noise cannot identify what noise
33759378,724739,289070,auction,,,,,fail,ENGINE KNOCKING NOISE WHEN START (COLD MORNING START)
33760813,726147,289068,auction,,,,,fail,HUMMING NOISE
33760985,725049,289091,auction,fail,Hard To Start,,,fail,rough engine noise
33761623,723217,289086,auction,,,fail,Idling Unstable,fail,ROUGH NOISE
33764702,726222,289136,auction,,,,,fail,ROUGH NOISE
33768382,725290,289169,auction,,,,,fail,"BELT NOISE , TICKING NOISE , ROUGH NOISE"
33771586,722615,289207,auction,,,,,fail,ROUGH NOISE
33774593,725745,289241,auction,,,,,fail,SQUEEKING NOISE AND ABNORMAL VIBRATE ( CANT JUSTIFY WHAT NOISE )
33778691,722442,289282,auction,,,,,fail,"BELT NOISE, TICKING NOISE, ROUGH NOISE"
33781646,726067,289316,auction,fail,Hard To Start,fail,Missfiring,fail,Knocking Noise
33790046,725059,289413,auction,,,fail,Idling Unstable,fail,abnormal noise
33790473,726321,289423,auction,,,,,fail,ROUGH NOISE
33806795,726770,289536,auction,,,,,fail,"HUMMING,BELTING AND KNCOKING NOISE (SUGGEST REPAIR)"
33807560,713946,289587,auction,,,,,fail,"BELT NOISE, TICKING NOISE"
33808207,722197,289340,auction,,,,,fail,Belt Noise
33833874,725168,289787,auction,,,,,fail,abnormal noise
33834692,725484,289808,auction,fail,Hard To Start,,,fail,Knocking Noise & belt noise
